asin,title,rating,review_count,sponsored,is_prime,search_position,recent_sales,price_primary,price_rrp,category,page
B09NXS395V,"24K Gold Under Eye Patches - 60 Pack for Puffy Eyes, Dark Circles, Bags & Wrinkles with Collagen & Hyaluronic Acid - Eye Care Pads for Daily Skincare (Gold)",4.1,14615.0,False,False,1,10K+ bought in past month,9.39,9.99,beauty_personal_care,1
B091NJQ29P,Good Molecules Yerba Mate Wake Up Eye Gel - Hydrating Under Eye Gel Cream with Hyaluronic Acid and Caffeine - Target Dark Circles and Puffiness - Skin Care for Face,4.2,28653.0,False,False,2,60K+ bought in past month,5.97,,beauty_personal_care,1
B08Z5X1L1S,"Gifts for Women Gift Basket for Women - 10 Pc Almond Milk & Honey Beauty & Personal Care Set - Home Bath Pampering Package for Relaxing - Spa Self Care Kit - Birthday, Mom, Anniversary Gift",4.6,2369.0,False,False,3,5K+ bought in past month,34.98,65.0,beauty_personal_care,1
B08KT2Z93D,"eos Shea Better Body Lotion Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Natural Shea, Vegan, Vanilla Body Lotion, 16 fl oz",4.7,65741.0,False,False,4,100K+ bought in past month,9.97,10.99,beauty_personal_care,1
B0CMV2DCXT,"CHMI Under Eye Patches (50 Pairs) - 24K Gold Eye Patches for Puffy Eyes, Dark Circles, EyeBags and Wrinkles, Collagen Skin Care Products, Beauty & Personal Care",4.5,1021.0,False,False,5,5K+ bought in past month,9.99,,beauty_personal_care,1
B0CTK5ZTNK,"Under Eye Patches, 40 Pairs Eye Mask for Dark Circles, Puffy Eyes, Undereye Bags,Wrinkles,Eye Mask Patches with 24K Gold, Hyaluronic Acid,Rose & Aloe Vera, Eye Treatment Skin Care for Men & Women Gift",4.5,5192.0,False,False,6,10K+ bought in past month,9.99,12.99,beauty_personal_care,1
B0CNV5SG4S,"Sleeping lip mask, Nourish & Hydrate Lip Mask With Vitamin C, Antioxidants, Lip Balm, Lip Skin Care, Improve Lip Color, Reduce Lip Lines",4.6,969.0,False,False,7,300+ bought in past month,4.99,6.99,beauty_personal_care,1
B0C7W6GW8P,"e.l.f. Squeeze Me Lip Balm, Moisturizing Lip Balm for A Sheer Tint of Color, Infused with Hyaluronic Acid, Vegan & Cruelty-Free",4.5,19260.0,False,False,8,10K+ bought in past month,5.0,,beauty_personal_care,1
B0CPCYP629,"eos 24H Moisture Travel Body Lotion- Vanilla Cashmere, Travel Size Essential, Toiletries, Mini Body Lotion For Dry Skin, 2.5 fl oz",4.8,3099.0,False,False,9,20K+ bought in past month,3.99,,beauty_personal_care,1
B0DMTDN158,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening and Smoothing Daily Toner for More Even-Looking Skin Tone",4.7,44753.0,False,False,10,40K+ bought in past month,7.65,9.0,beauty_personal_care,1
B0FD8W456T,"Vaseline Glazed and Glisten Sunlit Glow Body Gel Oil Vanilla Cocoa Shimmering with Ultra-Hydrating Lipids and 100% Pure Cocoa Butter, 6.8 Oz",4.5,1255.0,False,False,11,10K+ bought in past month,8.97,,beauty_personal_care,1
B0FJSQ3F1V,"grace & stella Under Eye Brightener with Rose Quartz Rollerball - Centella Asiatica & Caffeine Under Eye Serum for Dark Circles & Puffiness - Travel Essentials, Gifts for Women, Vegan (15ml/0.51floz)",4.3,600.0,False,False,12,20K+ bought in past month,12.95,,beauty_personal_care,1
B0C4FY8FXW,"grace & stella Award Winning Under Eye Mask - Reduce Dark Circles, Puffy Eyes, Undereye Bags, Wrinkles - Gel Under Eye Patches - Small Birthday Gifts - Vegan Cruelty-Free (Pink, 6 Pairs)",4.3,44199.0,False,False,13,3K+ bought in past month,9.94,13.0,beauty_personal_care,1
B07PR467S5,"Tree Hut Coco Colada Shea Sugar Scrub, 18 oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care",4.8,151171.0,False,False,14,9K+ bought in past month,8.94,,beauty_personal_care,1
B0CDH47BN9,"Pimple Patches for Face, Hydrocolloid Acne Patches, Cute Star Zit Covers, Colorful Spot Stickers with Tea Tree, Salicylic Acid & Cica Oil| 3 Sizes (10mm, 12mm & 14mm) |200 Count",4.5,8548.0,False,False,15,10K+ bought in past month,6.64,9.99,beauty_personal_care,1
B088PRW7NQ,"TsMADDTs 6 pcs Tweezers Set for Women, Eyebrow Tweezers with Curved Scissor for Ingrown Hair, Hair Plucking Daily Beauty Tools with Leather Travel Case",4.5,16273.0,False,False,16,3K+ bought in past month,6.49,7.99,beauty_personal_care,1
B0BVK4CLXC,"GRIN Tongue Cleaner, 32 Count, Disposable Tongue Cleaner, Hygienic Scraper, Recycled Plastic, Clean Tongue, Promote Fresh Breath, Includes Safe Fold- Back Tooth Pick",4.7,3263.0,False,False,17,10K+ bought in past month,3.47,,beauty_personal_care,1
B016RFJDL8,"EcoTools Dry Body Brush, Cruelty-Free Bristles Exfoliate & Smooth Skin, Dry Brushing Removes Flaky Skin, May Help Improve Circulation & Tone, Eco-Friendly Skincare Tool, Vegan & Cruelty-Free, 1 Count",4.7,12295.0,False,False,18,10K+ bought in past month,5.49,,beauty_personal_care,1
B0DBLV6YNX,"TWEEZIA Stainless Steel Tweezer Set - 4 Precision Tweezers with Mirror & Leather Case - Ideal Eyebrow Kit, Ingrown Hair Tweezers, Splinter Removal Kit or Pointed Tweezers for Beauty and Personal Care",3.7,1099.0,False,False,19,1K+ bought in past month,14.95,,beauty_personal_care,1
B0DPHQRLJC,"eos Cashmere Body Wash – Vanilla Cashmere, Moisturizing Body Wash, Creamy Gel Formula, with Shea Butter, Glycerin, Vitamin E, pH Balanced, Sensitive Skin, Vegan, 16 fl oz",4.8,14386.0,False,False,20,70K+ bought in past month,9.98,11.99,beauty_personal_care,1
B0F3NYDCQQ,"medicube Salmon DNA PDRN Trial Kit | Glass Glow Mini Skincare Set with Toner, Serum & Sheet Mask for Hydrating, Firming, Moisturizing |Gift & Travel Essentials for Women & Girls | Korean Skincare",4.6,1016.0,False,False,21,2K+ bought in past month,14.9,,beauty_personal_care,1
B0DDC3QGJL,KAHI Wrinkle Bounce Multi Balm Stick | PDRN Collagen Wrinkle Stick | Korean Skin Care |All-in-One Hydrating Lip Balm Eye Cream Neck Cream Make Up Base & Face Mist Moisture Balm,4.2,16377.0,False,False,22,50K+ bought in past month,22.99,,beauty_personal_care,1
B091MBD3Q3,"GuruNanda Tongue Scraper for Adults (2 Pack) with Travel Case, 420 Medical-Grade 100% Stainless Steel Tongue Cleaner, Aids in Fresh Breath & Oral Care",4.7,14493.0,False,False,23,20K+ bought in past month,4.97,,beauty_personal_care,1
B0CRRZNL11,"eos Cashmere Lip Butter - Vanilla Cashmere, Plumping Peptides, Smoothing, eos Lip Butter, Shea Butter, Lip Mask, Lip Moisturizer, Soft Lips, 0.35 fl oz",4.6,3393.0,False,False,24,10K+ bought in past month,6.97,,beauty_personal_care,1
B0FZWP44NM,"Tree Hut Mini Vanilla Everything Shower Gift Set, Exfoliating Sugar Scrub, Foaming Gel Wash & Whipped Body Butter, Hydrating & Moisturizing Self-Care Gift Set for Smooth Skin",4.1,125.0,False,False,25,2K+ bought in past month,25.0,,beauty_personal_care,1
B002LC9OES,"Mario Badescu Facial Spray with Aloe, Herbs and Rose Water for All Skin Types, Face Mist that Hydrates, Rejuvenates & Clarifies",4.5,84021.0,False,False,26,7K+ bought in past month,8.0,,beauty_personal_care,1
B0DBF65JYY,"medicube PDRN Pink Peptide Serum with Salmon DNA | Pink Glow Serum with Peptides & Niacinamide for Hydration & Firm-Looking Skin | Uneven Tone Care | Korean Skincare, 1.01 fl. Oz",4.6,10387.0,False,False,27,80K+ bought in past month,18.9,21.8,beauty_personal_care,1
B0DNTY74V9,"Dove Himalayan Salt & Rose Oil Body Scrub Exfoliates and Deeply Nourishes for Smooth, Radiant Skin 15 oz",4.7,7846.0,False,False,28,10K+ bought in past month,7.97,,beauty_personal_care,1
B0D415V33S,"CHMI Under Eye Patches (100 Pairs) - 24K Gold Eye Patches for Puffy Eyes, Dark Circles, Eye Bags and Wrinkles, Collagen Skin Care Products, Beauty & Personal Care",4.6,211.0,False,False,29,600+ bought in past month,17.99,,beauty_personal_care,1
B0B3SCM1L6,"Tower 28 SOS Daily Rescue Facial Spray - Hypochlorous Acid Spray to Help Reduce Redness, Calm Irritation + Alleviate Flare-Ups - Purifying Travel Size Face Toner - Everyday Skin Care Essential (1 oz)",4.6,4344.0,False,False,30,10K+ bought in past month,12.0,,beauty_personal_care,1
B09X35Q53M,"XHJRI Ice Cube Roller Massager for Face, Eyes and Neck Naturally Conditioning and Skin Care,De-Puff Eye Bags,Reduce Migraine Pain,Reusable Massage Silicone Ice Mold (Pink)",4.4,4134.0,False,False,31,3K+ bought in past month,5.99,,beauty_personal_care,1
