asin,title,rating,review_count,sponsored,is_prime,search_position,recent_sales,price_primary,price_rrp,category,page,recent_sales_approx,brand,subcategory,image,is_fba,bsr_main,bsr_sub,seller_name,discount_pct,engagement_score,has_discount
B091NJQ29P,Good Molecules Yerba Mate Wake Up Eye Gel - Hydrating Under Eye Gel Cream with Hyaluronic Acid and Caffeine - Target Dark Circles and Puffiness - Skin Care for Face,4.2,28653,False,False,2,60K+ bought in past month,5.97,,Beauty Personal Care,1,60000,Good Molecules,Gels,https://m.media-amazon.com/images/I/71QsFtfDUCL.jpg,True,115,1,Good Molecules US,,252000.0,False
B08KT2Z93D,"eos Shea Better Body Lotion Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight & Non-Greasy, Natural Shea, Vegan, Vanilla Body Lotion, 16 fl oz",4.7,65741,False,False,4,100K+ bought in past month,9.97,10.99,Beauty Personal Care,1,100000,eos,Lotions,https://m.media-amazon.com/images/I/51lP01--ejL.jpg,True,2,1,,9.3,470000.0,True
B0DPHQRLJC,"eos Cashmere Body Wash – Vanilla Cashmere, Moisturizing Body Wash, Creamy Gel Formula, with Shea Butter, Glycerin, Vitamin E, pH Balanced, Sensitive Skin, Vegan, 16 fl oz",4.8,14386,False,False,20,70K+ bought in past month,9.98,11.99,Beauty Personal Care,1,70000,eos,Body Washes,https://m.media-amazon.com/images/I/51bThha-95L.jpg,True,12,1,,16.8,336000.0,True
B0DBF65JYY,"medicube PDRN Pink Peptide Serum with Salmon DNA | Pink Glow Serum with Peptides & Niacinamide for Hydration & Firm-Looking Skin | Uneven Tone Care | Korean Skincare, 1.01 fl. Oz",4.6,10387,False,False,27,80K+ bought in past month,18.9,21.8,Beauty Personal Care,1,80000,medicube,Serums,https://m.media-amazon.com/images/I/615DOoCI6xL.jpg,True,48,4,Medicube & Aprilskin,13.3,368000.0,True
B09541P9WH,"Amazon Basics Double-Tipped Cotton Swabs for Personal Hygiene and Baby Care, 100% Cotton, Versatile, Baby Safe, 500 Count",4.7,71667,False,False,33,100K+ bought in past month,2.84,,Beauty Personal Care,1,100000,Amazon Basics,Cotton Swabs,https://m.media-amazon.com/images/I/612HeyYXOnL.jpg,,41,2,,,470000.0,False
B0D8W1YVBX,"EQQUALBERRY Vitamin Illuminating Serum | Niacinamide 4% + Brightening Vitamin C Face Serum with Hyaluronic Acid & Vitamin E | Dark Spot, Uneven Tone Care | Korean Skincare, 1.01 fl.oz",4.4,8033,False,False,39,100K+ bought in past month,19.99,24.99,Beauty Personal Care,1,100000,EQQUALBERRY,Serums,https://m.media-amazon.com/images/I/614vlOIc8YL.jpg,True,22,2,boosterskorea,20.0,440000.0,True
B00AHAWWO0,"Crest 3D Whitestrips Professional Effects – Teeth Whitening Kit, 22 Treatments (20 + 2 Bonus), Each with 1 Upper/1Lower, 44 Strips – Crest 3DWhite Teeth Whitening Strips",4.6,102791,False,False,22,80K+ bought in past month,45.99,,Beauty Personal Care,2,80000,Crest,Strips,https://m.media-amazon.com/images/I/715rFhZpV0L.jpg,True,121,1,,,368000.0,False
B0BK2SC18T,"GuruNanda Teeth Whitening Strips - 7-Day Treatment with Non-Slip, Dry Strip Technology - Whitening Designed with Care for a Brighter Smile",4.4,17686,False,False,20,60K+ bought in past month,9.97,,Beauty Personal Care,7,60000,GuruNanda,Strips,https://m.media-amazon.com/images/I/71EybBZ-jpL.jpg,True,138,2,GuruNanda LLC,,264000.0,False
B0DGHMNQ5Z,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",4.5,43623,False,False,3,10K+ bought in past month,99.0,129.0,Electronics,1,10000,Apple,All Departments,https://m.media-amazon.com/images/I/61iBtxCUabL.jpg,True,,,,23.3,45000.0,True
B0CQMRKRV5,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",4.7,60956,False,False,16,10K+ bought in past month,34.99,,Electronics,1,10000,Amazon,Electronics,https://m.media-amazon.com/images/I/61pvHU+76pL.jpg,True,,,,,47000.0,False
B0FC5FJZ9Z,Nintendo Switch 2 + Mario Kart World Bundle,4.7,2815,False,False,22,10K+ bought in past month,499.0,,Electronics,1,10000,Nintendo,Consoles,https://m.media-amazon.com/images/I/715AHrLja3L.jpg,True,6,1,,,47000.0,False
B0FC6S2R7K,"4K+4K Dash Cam Front and Rear, Free 128GB Card Included, 5.8GHz WiFi Dash Camera for Cars, Built-in GPS, G-Sensor, 170°Wide Angle, 3"" IPS Screen, 24H Parking Mode, Support 512GB Max",4.8,4499,False,False,14,10K+ bought in past month,129.99,183.0,Electronics,2,10000,TERUNSOUl,On-Dash Cameras,https://m.media-amazon.com/images/I/81oa74mGntL.jpg,True,135,1,Ren-US,29.0,48000.0,True
B0FC5FJZ9Z,Nintendo Switch 2 + Mario Kart World Bundle,4.7,2815,False,False,18,10K+ bought in past month,499.0,,Electronics,2,10000,Nintendo,Consoles,https://m.media-amazon.com/images/I/715AHrLja3L.jpg,True,6,1,,,47000.0,False
B09B2SBHQK,"Amazon Echo Show 5 (newest model), Smart display, Designed for Alexa+, 2x the bass and clearer sound, Charcoal",4.2,65560,False,False,19,10K+ bought in past month,89.99,,Electronics,2,10000,Amazon,Amazon Devices,https://m.media-amazon.com/images/I/81qEr5kbIwL.jpg,True,,,,,42000.0,False
B0F43VY6TC,"2Pack Multi Charging Cable Cord for Travel Vacation Essentials,Apple Watch Charger,iPhone 17 Charger,[3-in-2] USB A/Type C/Lightning Cable for iWatch,iPhone 17-11,Xbox Series X&S,Airpods,Home,Office",4.2,2450,False,False,6,10K+ bought in past month,15.99,,Electronics,4,10000,‎xiwxi,Batteries & Chargers,https://m.media-amazon.com/images/I/71zbZrNvOmL.jpg,True,27,1,zttamzusd,,42000.0,False
B01FWAZEIU,"APC UPS 600VA / 330W UPS Battery Backup & Surge Protector, 7 Outlets (NEMA 5-15R), USB Charging Port, BE600M1 Uninterruptible Power Supply for Computers, Wi-Fi Routers, and Home Office Electronics",4.5,28652,False,False,11,10K+ bought in past month,83.99,,Electronics,4,10000,APC,Uninterruptible Power Supply (UPS),https://m.media-amazon.com/images/I/61-O0p1npOL.jpg,True,1,,,,45000.0,False
B0B72DBKVF,"Duracell Coppertop 9V Battery, 6 Count (Pack of 1), 9 Volt with Long-lasting Power, All-Purpose Alkaline 9V Battery for Household and Office Devices",4.8,6464,True,False,17,10K+ bought in past month,25.37,,Electronics,6,10000,DURACELL,9V,https://m.media-amazon.com/images/I/61ZSfHGJ2bL.jpg,True,90,3,,,48000.0,False
B0F2TB2MMP,"Extra Large Expandable Silverware Organizer, BPA-Free Food-Safe Cutlery Flatware Organizer, Kitchen Utensil Drawer Organizer, Adjustable Silverware Holder for Spoons Forks Knives, Black",4.8,3893,False,False,15,20K+ bought in past month,6.99,,Home Kitchen,1,20000,‎ukeetap,Flatware Organizers,https://m.media-amazon.com/images/I/711fUeua6GL.jpg,True,19,2,Ukeetap,,96000.0,False
B0C3QZ7SNF,"Cisily Sponge Holder for Kitchen Sink, Sink Caddy Organizer with High Brush Holder, Kitchen Countertop Organizers and Storage Essentials, Rustproof 304 Stainless Steel (Black, 9.25″)",4.6,11683,False,False,20,20K+ bought in past month,13.99,19.99,Home Kitchen,1,20000,Cisily,Kitchen Storage & Organization Accessories,https://m.media-amazon.com/images/I/81shIEM-H2L.jpg,True,25,1,CISILY HOME LIFE,30.0,92000.0,True
B07PZF3QS3,"KitchenAid All Purpose Kitchen Shears with Protective Sheath Durable Stainless Steel Scissors, Dishwasher Safe, Soft Grip Comfort Handle, 8.72 Inch, Black",4.7,69876,False,False,30,30K+ bought in past month,7.99,8.99,Home Kitchen,1,30000,‎KitchenAid,Shears,https://m.media-amazon.com/images/I/51Byq+vTy1L.jpg,True,14,1,,11.1,141000.0,True
B0CJ1B6D6S,"Scrub Daddy Scrub Mommy Sponges - Dish Scrubber + Non-Scratch Cleaning Sponges Kitchen, Bathroom + Multi-Surface Safe - Dual-Sided Dish Sponges for Scrubbing - Online Exclusive (3 Count)",4.8,31676,False,False,31,30K+ bought in past month,13.99,,Home Kitchen,1,30000,Scrub Daddy,Sponges,https://m.media-amazon.com/images/I/71kiOOs1MGL.jpg,True,312,3,Front Row Group,,144000.0,False
B0FLXY2CBC,"8 Blade All-in-1 Vegetable Chopper Mandoline Slicer with Container, Food Chopper, Onion Chopper, Veggie Cutter for Salad, Kitchen Gadgets Accessories Essentials, White",4.4,874,False,False,46,10K+ bought in past month,16.98,19.99,Home Kitchen,1,10000,ukeetap,Choppers,https://m.media-amazon.com/images/I/71oEi5leWdL.jpg,True,22,1,Ukeetap,15.1,44000.0,True
B0FLXY2CBC,"8 Blade All-in-1 Vegetable Chopper Mandoline Slicer with Container, Food Chopper, Onion Chopper, Veggie Cutter for Salad, Kitchen Gadgets Accessories Essentials, White",4.4,874,True,False,69,10K+ bought in past month,16.98,19.99,Home Kitchen,1,10000,ukeetap,Choppers,https://m.media-amazon.com/images/I/71oEi5leWdL.jpg,True,22,1,Ukeetap,15.1,44000.0,True
B0113UZJE2,"Etekcity Food Kitchen Scale, Digital Grams and Ounces for Weight Loss, Baking, Cooking, Keto and Meal Prep, LCD Display, Medium, 304 Stainless Steel",4.6,144208,False,False,3,50K+ bought in past month,13.99,,Home Kitchen,3,50000,‎Etekcity,Digital Scales,https://m.media-amazon.com/images/I/91YrLTBnMcL.jpg,True,3,1,,,230000.0,False
B07HRCDDL1,"MR.SIGA Microfiber Cleaning Cloth,Pack of 12,Size:12.6"" x 12.6""",4.7,102059,False,False,21,20K+ bought in past month,13.99,14.99,Home Kitchen,3,20000,MR.SIGA,Cleaning Cloths,https://m.media-amazon.com/images/I/91AFRzSSLbL.jpg,True,395,2,Mr SIGA USA,6.7,94000.0,True
B0CTJGJL2T,"Candle Warmer Lamp with Timer Dimmable, Birthday Gifts for Women Mom, House Warming Gifts New Home Decor, Wax Melt Warmer for Jar Candles with 2 Bulbs",4.7,6999,False,False,45,20K+ bought in past month,19.99,32.99,Home Kitchen,3,20000,GODONLIF,Candle Lamps,https://m.media-amazon.com/images/I/810vcJJDrkL.jpg,True,58,1,GODONLIF US,39.4,94000.0,True
B0009KF59W,"WILSON NCAA Final Four Basketball - 29.5"" and 28.5""",4.7,9178,False,False,7,3K+ bought in past month,19.99,26.95,Sports Outdoors,2,3000,‎WILSON,Basketballs,https://m.media-amazon.com/images/I/81ATTfCvMIL.jpg,True,90,1,,25.8,14100.0,True
B088H5DWV3,WEERTI Thermal Underwear for Women Long Johns with Fleece Lined Base Layer Women Cold Weather Top Bottom,4.5,12643,True,False,10,4K+ bought in past month,24.99,39.99,Sports Outdoors,2,4000,WEERTI,Sets,https://m.media-amazon.com/images/I/51T4Bf02rPL.jpg,True,922,1,WEERTI,37.5,18000.0,True
B0C9BLDRYS,"3-in-1 Baseball Set for Kids 3-5 - Tee Ball Stand, Hanging Tee, Ball Launcher and 6 Softballs - Adjustable Height, Indoor/Outdoor Sport Gifts for Boys Girls, Blue",4.2,2306,False,False,33,2K+ bought in past month,29.99,36.99,Sports Outdoors,2,2000,HYES,Toy Baseball,https://m.media-amazon.com/images/I/6155w+5P5nL.jpg,True,546,2,,18.9,8400.0,True
B0CG2LW9RN,"Little Tikes T-Ball Set, Red, 5 Balls, for Toddlers Ages 18+ Months – Amazon Exclusive",4.8,1536,False,False,39,3K+ bought in past month,22.99,,Sports Outdoors,2,3000,‎Little Tikes,Toy Baseball,https://m.media-amazon.com/images/I/61uTWxjfzGL.jpg,True,608,3,,,14400.0,False
B09GNQD678,"Nerf Mini Foam Sports Ball Set - Foam Football, Soccer Ball + Basketball Soft Sports Toy for Kids",4.7,994,False,False,40,1K+ bought in past month,19.99,29.99,Sports Outdoors,2,1000,‎Nerf,Toy Balls,https://m.media-amazon.com/images/I/81aAqMnn46L.jpg,True,3273,23,,33.3,4700.0,True
